disease,description
(vertigo) Paroymsal  Positional Vertigo,"A balance disorder caused by inner ear problems. It leads to sudden, brief episodes of dizziness. Rest and specific head exercises are recommended."
ADHD,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
AIDS,An advanced stage of HIV infection that severely damages the immune system. It makes the body vulnerable to infections. Lifelong antiviral medication is required.
AIDS/HIV,An advanced stage of HIV infection that severely damages the immune system. It makes the body vulnerable to infections. Lifelong antiviral medication is required.
Abdominal cramp,"A sudden, involuntary muscle contraction causing sharp pain. Often caused by dehydration or overuse. Stretching, hydration, and rest provide immediate relief."
Abdominal pain,A physical suffering or discomfort caused by illness or injury. It serves as a signal that something is wrong in the body. Identifying the cause directly addresses it.
Abdominal pain Irritable bowel syndrome,A physical suffering or discomfort caused by illness or injury. It serves as a signal that something is wrong in the body. Identifying the cause directly addresses it.
Absence seizures,"A sudden, uncontrolled electrical disturbance in the brain. It can cause changes in behavior, movements, or consciousness. Medical diagnosis and anticonvulsant medication are required."
Acidity Heartburn Anxiety,"A mental health condition characterized by intense, excessive, and persistent worry. It causes a fast heart rate and fatigue. Therapy and stress management techniques are key."
Acidity Heartburn Stomach ulcers,"Sores that develop on the inner lining of the stomach or digestive tract. They cause burning stomach pain. Avoiding spicy food, stress, and NSAIDs help in recovery."
Acidity Indigestion,A digestive condition resulting from excess stomach acid. It causes indigestion and heartburn. Antacids and avoiding spicy foods provide quick relief.
Acidity Stomach ulcers,"Sores that develop on the inner lining of the stomach or digestive tract. They cause burning stomach pain. Avoiding spicy food, stress, and NSAIDs help in recovery."
Acidity Stomach ulcers Bloating,"Sores that develop on the inner lining of the stomach or digestive tract. They cause burning stomach pain. Avoiding spicy food, stress, and NSAIDs help in recovery."
Acne,A common skin condition that occurs when hair follicles get clogged with oil and dead cells. It causes pimples and spots. Good hygiene and topical creams help manage it.
Acne vulgaris,A common skin condition that occurs when hair follicles get clogged with oil and dead cells. It causes pimples and spots. Good hygiene and topical creams help manage it.
AcneTreatment of Bacterial infectionsTreatment of Parasitic infections,A common skin condition that occurs when hair follicles get clogged with oil and dead cells. It causes pimples and spots. Good hygiene and topical creams help manage it.
Acromegaly Carcinoid tumours Bleeding esophageal varices,An abnormal mass of tissue resulting from uncontrolled cell growth. Requires careful oncological assessment and specialized medical treatments.
